Facility,total_ops,total_num_delays,avg_min,total_min
ZLC,1435855,863,24.1,20799
ZMA,2441228,11508,32.4,373140
ZME,2145204,667,24.2,16164
ZMP,1986502,1199,25.3,30304
ZNY,2712588,38315,32.7,1253499
ZOA,1752411,1750,21.9,38274
ZOB,2427258,5611,52.6,295302
ZSE,1213245,855,24.0,20550
ZSU,609159,72,78.0,5614
ZTL,3120499,6530,25.4,165740
ZUA,324250,1,42.0,42
